Id,鄉鎮市區,交易標的,路名,土地移轉總面積平方公尺,都市土地使用分區,土地數,建物數,車位數,移轉層次,移轉層次項目,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,交易年,交易日,交易月,地鐵站,超商,公園,托兒所,國小,國中,高中職,大學,金融機構,醫院,大賣場,超市,百貨公司,警察局,消防局,縱坐標,橫坐標
1178,士林區,房地(土地+建物),天玉街,32.93,住,1.0,1.0,0,6,無,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1986-12-19,152.68,4,2,2,有,無,2020,13,3,0.0,13.0,10.0,20.0,20.0,18.0,4.0,15.0,19.0,20.0,9.0,20.0,18.0,20.0,13.0,25.08328310469545,121.56081137121843
1179,信義區,房地(土地+建物)+車位,吳興街,18.69,住,4.0,1.0,1,2,無,10.0,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,2017-09-07,145.49,2,2,1,有,有,2019,18,6,0.0,2.0,3.0,20.0,20.0,16.0,12.0,16.0,18.0,20.0,9.0,20.0,18.0,20.0,16.0,24.98057990469545,121.60253897121844
1180,北投區,房地(土地+建物),石牌路一段,50.0,住,1.0,1.0,0,3,無,3.0,公寓(5樓含以下無電梯),住家用,加強磚造,1971-10-08,97.81,3,2,1,有,無,2019,19,10,0.0,8.0,7.0,20.0,20.0,19.0,6.0,12.0,17.0,20.0,9.0,20.0,18.0,20.0,14.0,25.07481420469545,121.54310347121844
1181,北投區,房地(土地+建物)+車位,知行路,34.09,第二種住宅區,1.0,1.0,2,1,無,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,2006-06-06,94.26,0,0,0,無,有,2020,30,11,0.0,5.0,10.0,17.0,19.0,16.0,4.0,9.0,14.0,20.0,6.0,20.0,9.0,17.0,17.0,25.080294504695452,121.49813397121844
1182,大同區,房地(土地+建物),承德路二段,23.12,第四種住宅區,2.0,1.0,0,2,無,4.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1984-10-08,72.76,2,1,1,有,無,2020,12,6,4.0,18.0,11.0,20.0,20.0,20.0,14.0,20.0,20.0,20.0,10.0,20.0,20.0,20.0,20.0,25.01977530469545,121.55062677121843
1183,文山區,房地(土地+建物)+車位,景豐街,39.05,住,1.0,1.0,2,6,無,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,2006-11-23,191.37,4,2,2,有,有,2020,4,4,0.0,10.0,14.0,20.0,20.0,20.0,15.0,19.0,15.0,20.0,12.0,20.0,18.0,20.0,19.0,24.962989104695453,121.57700277121843
1184,中正區,房地(土地+建物),泉州街,25.88,住,2.0,1.0,0,2,無,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1981-01-29,83.37,2,2,1,有,無,2019,7,11,0.0,13.0,6.0,20.0,20.0,20.0,12.0,20.0,19.0,20.0,13.0,20.0,20.0,20.0,20.0,24.99074040469545,121.54637407121844
1185,內湖區,房地(土地+建物)+車位,文湖街,24.53,住,1.0,1.0,1,3,無,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1996-01-10,108.039999999999,3,2,1,有,有,2019,17,12,0.0,5.0,7.0,20.0,20.0,19.0,4.0,13.0,18.0,18.0,10.0,20.0,13.0,20.0,15.0,25.052378104695453,121.59262327121844
1186,文山區,房地(土地+建物),興隆路三段,6.39,第三種住宅區,1.0,1.0,0,4,無,10.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,2008-05-23,30.39,1,1,1,有,有,2021,23,1,1.0,6.0,7.0,18.0,20.0,18.0,13.0,17.0,17.0,20.0,7.0,20.0,17.0,20.0,17.0,25.00804600469545,121.55742387121843
1187,南港區,房地(土地+建物),忠孝東路六段,22.24,住,1.0,1.0,0,1,無,7.0,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1984-07-24,92.0,2,2,2,有,有,2019,28,9,1.0,12.0,17.0,20.0,20.0,19.0,8.0,9.0,20.0,20.0,13.0,20.0,20.0,20.0,20.0,25.00807690469545,121.61692267121843
1188,中正區,房地(土地+建物),門街,47.5,第三種住宅區,1.0,1.0,0,2,陽臺,4.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1962-12-18,126.93,3,2,2,有,無,2021,30,9,1.0,5.0,10.0,20.0,20.0,20.0,15.0,19.0,20.0,20.0,13.0,20.0,20.0,20.0,20.0,24.986825104695452,121.55742387121843
1189,大安區,房地(土地+建物)+車位,信義路四段,23.96,第四種住宅區,3.0,1.0,1,10,無,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1982-11-25,301.059999999999,3,2,4,有,有,2020,10,7,1.0,17.0,11.0,20.0,20.0,20.0,15.0,20.0,20.0,20.0,12.0,20.0,20.0,20.0,20.0,24.995361204695453,121.58369887121844
1190,萬華區,房地(土地+建物),青年路,9.21,住,1.0,1.0,0,2,無,5.0,套房(1房1廳1衛),住家用,鋼筋混凝土造,1975-04-03,31.44,0,1,1,有,無,2020,2,4,0.0,15.0,10.0,20.0,20.0,20.0,11.0,16.0,18.0,20.0,16.0,20.0,20.0,20.0,20.0,24.98513950469545,121.53440197121844
1191,大安區,房地(土地+建物),和平東路一段,7.86,第三種住宅區,2.0,1.0,0,7,無,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,2008-04-14,37.31,0,0,0,無,有,2020,21,12,0.0,13.0,13.0,20.0,20.0,20.0,14.0,20.0,20.0,20.0,13.0,20.0,20.0,20.0,20.0,24.98856190469545,121.55577757121844
1192,中正區,房地(土地+建物),重慶南路三段,15.64,住,2.0,1.0,0,5,通道,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1980-02-05,92.01,3,2,1,有,無,2020,13,4,1.0,10.0,7.0,20.0,20.0,20.0,14.0,19.0,20.0,20.0,15.0,20.0,20.0,20.0,20.0,24.98516990469545,121.54850747121844
1193,文山區,房地(土地+建物)+車位,興隆路三段,15.1,住,1.0,1.0,1,6,無,7.0,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,2019-10-16,86.25,1,1,1,有,有,2020,7,1,1.0,7.0,2.0,20.0,20.0,19.0,12.0,15.0,16.0,20.0,7.0,20.0,13.0,20.0,16.0,24.957268804695453,121.58802617121844
1194,大安區,房地(土地+建物)+車位,潮州街,18.72,住,1.0,1.0,1,2,無,9.0,套房(1房1廳1衛),住家用,鋼筋混凝土造,2009-01-20,95.0,1,1,2,有,有,2020,13,2,1.0,14.0,12.0,20.0,20.0,20.0,14.0,20.0,19.0,20.0,14.0,20.0,20.0,20.0,20.0,24.99103250469545,121.55641847121844
1195,士林區,房地(土地+建物),中山北路七段,16.54,第三種住宅區,1.0,1.0,0,1,無,4.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1971-01-16,47.53,2,1,1,有,無,2020,22,12,0.0,10.0,13.0,20.0,20.0,17.0,4.0,14.0,17.0,20.0,8.0,20.0,18.0,20.0,12.0,25.085553704695453,121.56380847121844
1196,松山區,房地(土地+建物),民權東路3段,6.67,住,1.0,1.0,0,7,無,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1980-08-07,56.93,2,1,2,有,有,2019,12,11,0.0,10.0,10.0,20.0,20.0,20.0,11.0,18.0,20.0,20.0,14.0,20.0,20.0,20.0,20.0,25.023908504695452,121.57976087121844
1197,文山區,房地(土地+建物),景華街,22.0,第四種住宅區,1.0,1.0,0.0,4,無,4.0,公寓(5樓含以下無電梯),住家用,加強磚造,1956-11-30,76.94,3,1,1,有,無,2021,18,3,1.0,8.0,11.0,20.0,20.0,20.0,16.0,19.0,17.0,20.0,11.0,20.0,13.0,20.0,19.0,24.956810904695452,121.57400817121844
1198,大安區,房地(土地+建物),和平東路三段,24.0,第三種住宅區,1.0,1.0,0.0,2,陽臺,4.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1962-10-01,71.31,3,2,1,有,無,2021,24,3,2.0,13.0,12.0,20.0,20.0,20.0,16.0,20.0,20.0,20.0,11.0,20.0,20.0,20.0,20.0,24.98397040469545,121.58605287121844
1199,北投區,房地(土地+建物),中央北路三段,23.29,第二種住宅區,2.0,1.0,0,5,無,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1982-02-26,80.39,6,4,2,有,無,2020,21,9,1.0,5.0,3.0,11.0,18.0,12.0,3.0,9.0,13.0,20.0,5.0,17.0,5.0,14.0,13.0,25.09817180469545,121.51216707121844
1200,中正區,房地(土地+建物),南昌路二段,4.7,第三種住宅區,2.0,1.0,0.0,14,無,14.0,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,2009-10-13,56.94,1,1,1,有,無,2021,22,1,0.0,13.0,13.0,20.0,20.0,20.0,14.0,20.0,20.0,20.0,10.0,20.0,20.0,20.0,20.0,24.986825104695452,121.55742387121843
1201,內湖區,房地(土地+建物),江南街,28.89,住,1.0,1.0,0,2,無,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1984-05-02,109.359999999999,6,0,6,有,無,2019,11,8,0.0,10.0,11.0,20.0,20.0,19.0,8.0,8.0,19.0,20.0,6.0,20.0,18.0,20.0,17.0,25.037720104695453,121.60878667121844
1202,內湖區,房地(土地+建物),內湖路一段,30.82,第三種住宅區,1.0,1.0,0,5,無,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1982-02-27,108.24,3,2,1,有,無,2020,7,11,0.0,8.0,9.0,20.0,20.0,19.0,6.0,13.0,19.0,17.0,12.0,19.0,9.0,20.0,15.0,25.049430104695453,121.59484347121844
1203,大安區,房地(土地+建物),辛亥路二段,10.22,第三之二種住宅區及第三種住宅區,1.0,1.0,0,11,無,25.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1989-02-21,156.95,4,2,2,有,有,2021,21,1,0.0,8.0,9.0,20.0,20.0,20.0,15.0,20.0,20.0,20.0,13.0,20.0,20.0,20.0,20.0,25.00804600469545,121.55742387121843
1204,萬華區,房地(土地+建物),西園路二段,18.63,第三種住宅區,1.0,1.0,0.0,1,無,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1965-08-20,58.6,3,1,1,有,無,2021,15,4,0.0,9.0,7.0,20.0,20.0,20.0,13.0,12.0,18.0,20.0,15.0,20.0,18.0,20.0,20.0,24.98860560469545,121.52238337121844
1205,南港區,房地(土地+建物),福德街,28.15,第三種住宅區,1.0,1.0,0.0,1,無,5.0,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,1969-10-22,114.42,0,0,0,無,無,2021,15,3,0.0,8.0,9.0,20.0,20.0,17.0,10.0,8.0,19.0,20.0,10.0,20.0,20.0,20.0,20.0,25.00134500469545,121.61953307121844
1206,內湖區,房地(土地+建物)+車位,康寧路三段,33.58,住,1.0,1.0,2,5,無,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,2008-10-31,226.11,3,2,2,有,有,2020,14,5,2.0,11.0,10.0,20.0,20.0,17.0,6.0,5.0,17.0,20.0,13.0,20.0,10.0,20.0,14.0,25.02963560469545,121.64073297121844
1207,信義區,房地(土地+建物),莊敬路,22.81,第三種住宅區,1.0,1.0,0.0,1,無,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1980-08-03,164.2,2,2,1,有,無,2020,18,12,1.0,14.0,13.0,20.0,20.0,20.0,13.0,17.0,20.0,20.0,12.0,20.0,20.0,20.0,19.0,24.991664404695452,121.59552527121843
1208,信義區,房地(土地+建物),忠孝東路五段,26.78,第三種住宅區,1.0,1.0,0.0,5,無,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1974-04-04,126.63,4,2,2,有,無,2019,13,11,3.0,17.0,16.0,20.0,20.0,20.0,9.0,15.0,20.0,20.0,14.0,20.0,20.0,20.0,20.0,25.001630804695452,121.60336237121844
1209,南港區,房地(土地+建物)+車位,研究院路二段,42.39,第三種住宅區,1.0,1.0,1.0,11,無,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,2002-06-03,269.539999999999,4,2,2,有,有,2021,1,3,0.0,7.0,15.0,20.0,18.0,14.0,6.0,7.0,13.0,17.0,10.0,20.0,10.0,19.0,16.0,24.986825104695452,121.55742387121843
1210,內湖區,房地(土地+建物)+車位,文德路,28.86,第三種住宅區,1.0,1.0,1.0,24,無,25.0,住宅大樓(11層含以上有電梯),集合住宅,鋼骨造,2009-12-24,225.75,3,2,2,有,無,2021,9,2,0.0,5.0,9.0,20.0,20.0,20.0,8.0,7.0,18.0,20.0,10.0,20.0,12.0,20.0,18.0,24.986825104695452,121.55742387121843
1211,松山區,房地(土地+建物),新東街,34.1,住,1.0,1.0,0,3,無,4.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1973-06-08,77.73,2,2,1,有,無,2019,7,11,0.0,12.0,14.0,20.0,20.0,20.0,10.0,13.0,20.0,20.0,13.0,20.0,20.0,20.0,20.0,25.01986480469545,121.59947317121843
1212,內湖區,房地(土地+建物)+車位,金湖路,29.81,第三種住宅區,1.0,1.0,1,13,無,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,2003-09-30,170.84,3,2,2,有,有,2020,4,12,2.0,12.0,13.0,20.0,20.0,14.0,7.0,4.0,17.0,20.0,11.0,20.0,11.0,19.0,17.0,25.04407200469545,121.62835347121843
1213,士林區,房地(土地+建物),華齡街,35.8,第三種住宅區,1.0,1.0,0,4,無,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1980-03-27,110.35,4,2,1,有,無,2020,10,10,1.0,12.0,8.0,20.0,20.0,20.0,8.0,14.0,17.0,20.0,11.0,20.0,18.0,20.0,20.0,25.046143304695452,121.55141377121844
1214,萬華區,房地(土地+建物),萬大路,14.42,住,1.0,1.0,0,9,無,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1982-10-27,60.3799999999999,2,1,1,有,有,2019,30,12,0.0,14.0,10.0,20.0,20.0,20.0,12.0,19.0,17.0,20.0,16.0,20.0,20.0,20.0,20.0,24.98732320469545,121.53477497121844
1215,內湖區,房地(土地+建物)+車位,內湖路二段,53.25,住,1.0,1.0,2,7,電梯樓梯間,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1997-06-03,306.81,3,2,2,有,有,2019,7,12,2.0,5.0,10.0,20.0,20.0,18.0,8.0,7.0,17.0,20.0,10.0,20.0,10.0,20.0,16.0,25.045408204695452,121.61260497121843
1216,松山區,房地(土地+建物),八德路四段,26.0,住,2.0,1.0,0,1,平台,4.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1975-05-10,70.54,2,1,1,有,無,2020,4,4,1.0,14.0,9.0,20.0,20.0,20.0,13.0,19.0,20.0,20.0,13.0,20.0,20.0,20.0,20.0,25.011172204695452,121.59525287121843
1217,中正區,房地(土地+建物)+車位,愛國東路,39.85,第三種住宅區,3.0,1.0,1.0,9,無,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1976-11-11,297.859999999999,4,2,3,有,有,2021,24,1,0.0,11.0,2.0,20.0,20.0,20.0,14.0,20.0,20.0,20.0,12.0,20.0,20.0,20.0,20.0,24.995550904695452,121.55113547121844
1218,文山區,房地(土地+建物),忠順街二段,23.6,第三種住宅區,1.0,1.0,0,7,無,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1984-07-11,128.329999999999,3,2,1,有,有,2020,12,11,0.0,11.0,17.0,20.0,20.0,18.0,11.0,18.0,16.0,20.0,8.0,20.0,10.0,19.0,13.0,24.94691830469545,121.59581867121844
1219,中正區,房地(土地+建物)+車位,重慶南路二段,20.39,第三種住宅區,2.0,1.0,1,3,無,14.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,2009-08-11,153.25,3,2,2,有,無,2018,22,1,2.0,10.0,3.0,20.0,20.0,20.0,12.0,19.0,20.0,20.0,13.0,20.0,20.0,20.0,20.0,24.99249670469545,121.54663697121843
1220,南港區,房地(土地+建物),東明街,56.69,住,2.0,1.0,0,5,無,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1984-01-26,125.84,5,0,5,有,無,2020,29,3,2.0,8.0,10.0,20.0,20.0,14.0,9.0,5.0,15.0,18.0,11.0,20.0,12.0,20.0,18.0,25.016753904695452,121.63452307121844
1221,信義區,房地(土地+建物),虎林街,18.76,第三種住宅區,1.0,1.0,0.0,2,無,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1974-05-17,72.58,3,2,2,有,無,2021,29,3,2.0,12.0,16.0,20.0,20.0,19.0,7.0,12.0,20.0,20.0,14.0,20.0,20.0,20.0,20.0,25.00973380469545,121.60726497121844
1222,中山區,房地(土地+建物),建國北路二段,5.96,第三種住宅區,5.0,1.0,0,13,無,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1988-05-24,50.68,1,1,1,有,有,2021,12,1,2.0,16.0,15.0,20.0,20.0,20.0,13.0,20.0,20.0,20.0,13.0,20.0,20.0,20.0,20.0,25.00804600469545,121.55742387121843
1223,大安區,房地(土地+建物),復興南路二段,33.0,第三種住宅區,3.0,1.0,0,5,無,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1988-02-25,153.29,4,2,2,有,無,2020,13,11,1.0,13.0,11.0,20.0,20.0,20.0,15.0,20.0,20.0,20.0,10.0,20.0,20.0,20.0,20.0,24.988417904695453,121.57389617121844
1224,信義區,房地(土地+建物)+車位,信安街,57.38,住,1.0,1.0,1,4,無,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,2013-10-22,186.28,2,2,2,有,有,2020,20,5,1.0,15.0,10.0,20.0,20.0,20.0,13.0,20.0,20.0,20.0,10.0,20.0,20.0,20.0,20.0,24.987014004695453,121.58936407121844
1225,信義區,房地(土地+建物),吳興街,25.48,第三種住宅區,1.0,1.0,0,5,無,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1972-07-14,98.47,3,2,1,有,無,2021,6,8,1.0,10.0,10.0,20.0,20.0,19.0,13.0,20.0,20.0,20.0,10.0,20.0,20.0,20.0,19.0,24.986096104695452,121.59548077121843
1226,內湖區,房地(土地+建物),康樂街,25.52,住,1.0,1.0,0,1,停車場,5.0,店面(店鋪),住商用,鋼筋混凝土造,1984-10-22,82.11,0,0,0,無,無,2020,29,4,0.0,9.0,9.0,20.0,20.0,14.0,5.0,4.0,18.0,20.0,11.0,20.0,12.0,20.0,15.0,25.03355500469545,121.65117607121844
1227,文山區,房地(土地+建物)+車位,福興路,16.93,第二種住宅區,2.0,1.0,1,3,無,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,2009-12-02,110.91,2,2,1,有,有,2020,26,7,0.0,5.0,6.0,20.0,20.0,20.0,15.0,19.0,17.0,20.0,9.0,20.0,20.0,20.0,20.0,24.968135104695452,121.58196947121844
1228,文山區,房地(土地+建物)+車位,辛亥路四段,131.31,住,3.0,1.0,2,7,無,11.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,2003-09-22,261.28,5,3,2,有,有,2019,2,10,0.0,2.0,4.0,20.0,20.0,20.0,14.0,17.0,17.0,20.0,9.0,20.0,20.0,20.0,19.0,24.970911904695452,121.59174617121843
1229,松山區,房地(土地+建物),延壽街,30.79,住,1.0,1.0,0,6,無,7.0,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1992-10-08,121.98,3,2,2,有,有,2020,19,2,0.0,15.0,18.0,20.0,20.0,20.0,10.0,14.0,20.0,20.0,12.0,20.0,20.0,20.0,20.0,25.01866840469545,121.59759087121844
1230,信義區,房地(土地+建物),松山路,36.5,住,2.0,1.0,0,2,陽臺,4.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1975-07-04,102.31,2,3,1,有,無,2020,17,4,2.0,13.0,16.0,20.0,20.0,18.0,8.0,11.0,20.0,20.0,11.0,20.0,20.0,20.0,20.0,25.002189904695452,121.61157297121844
1231,松山區,房地(土地+建物),民生東路四段,20.58,住宅用地,1.0,1.0,0,2,無,4.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1967-08-31,39.7,1,1,1,有,無,2020,9,12,2.0,16.0,18.0,20.0,20.0,20.0,12.0,18.0,20.0,20.0,12.0,20.0,20.0,20.0,20.0,25.019609204695453,121.58436397121844
1232,北投區,房地(土地+建物),三合街一段,14.58,住,1.0,1.0,0,2,無,10.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,2017-12-22,71.61,2,1,1,有,有,2020,12,5,1.0,11.0,14.0,19.0,20.0,17.0,5.0,14.0,16.0,20.0,10.0,20.0,15.0,19.0,12.0,25.08931040469545,121.53775107121844
1233,信義區,房地(土地+建物),松山路,13.66,第三種住宅區,3.0,1.0,0,16,無,16.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1987-07-13,126.28,3,2,3,有,有,2020,27,12,2.0,16.0,13.0,20.0,20.0,18.0,7.0,10.0,20.0,20.0,14.0,20.0,20.0,20.0,20.0,25.00804600469545,121.55742387121843
1234,大安區,房地(土地+建物)+車位,金山南路二段,20.16,住,4.0,1.0,1,5,無,24.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,2019-09-10,176.17,3,2,2,有,有,2019,9,12,1.0,14.0,13.0,20.0,20.0,20.0,14.0,17.0,20.0,20.0,13.0,20.0,20.0,20.0,20.0,24.99020660469545,121.55788607121843
1235,內湖區,房地(土地+建物)+車位,行善路,76.77,住宅區,1.0,1.0,1,9,無,9.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,2002-01-17,213.959999999999,3,2,2,有,有,2021,4,1,0.0,4.0,8.0,20.0,20.0,20.0,7.0,11.0,20.0,20.0,13.0,20.0,19.0,20.0,20.0,25.00804600469545,121.55742387121843
1236,大安區,房地(土地+建物),和平東路三段,25.86,第三之一種住宅區,1.0,2.0,0,1,無,7.0,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,1985-10-09,216.68,1,2,1,有,無,2020,13,10,0.0,15.0,12.0,20.0,20.0,20.0,17.0,20.0,20.0,20.0,11.0,20.0,20.0,20.0,20.0,24.983774704695453,121.58679637121844
1237,文山區,房地(土地+建物),興隆路三段,25.98,住,7.0,1.0,0,3,無,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1983-08-23,86.7299999999999,0,0,0,無,無,2019,26,9,1.0,0.0,11.0,20.0,20.0,18.0,12.0,17.0,0.0,20.0,6.0,20.0,15.0,20.0,16.0,24.957944004695452,121.59339287121844
1238,內湖區,房地(土地+建物),內湖路一段,33.61,第三種住宅區,1.0,1.0,0,5,無,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1989-04-26,105.87,3,2,2,有,無,2021,24,1,0.0,6.0,7.0,20.0,20.0,20.0,5.0,9.0,18.0,16.0,11.0,20.0,13.0,20.0,15.0,25.04991750469545,121.59062317121844
1239,南港區,房地(土地+建物)+車位,福德街,22.2,住宅區,1.0,1.0,1.0,7,無,18.0,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1987-05-21,133.2,3,2,1,有,有,2021,4,4,0.0,4.0,8.0,20.0,20.0,14.0,7.0,6.0,19.0,19.0,8.0,20.0,18.0,20.0,19.0,25.00139410469545,121.62497897121844
1240,松山區,房地(土地+建物),富錦街,40.0,住,1.0,1.0,0,3,無,4.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1970-04-28,108.69,3,2,2,有,無,2019,26,9,0.0,9.0,11.0,20.0,20.0,20.0,7.0,12.0,20.0,20.0,13.0,20.0,20.0,20.0,20.0,25.02431540469545,121.59942477121844
1241,士林區,房地(土地+建物),德行東路,14.75,第三種住宅區,1.0,1.0,0,6,無,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1978-07-07,86.7,3,2,1,有,有,2020,15,11,0.0,5.0,5.0,20.0,20.0,20.0,5.0,14.0,19.0,20.0,11.0,20.0,17.0,20.0,15.0,25.00804600469545,121.55742387121843
1242,文山區,房地(土地+建物)+車位,試院路,51.02,第三種住宅區,1.0,1.0,2,7,無,10.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,2004-04-22,374.27,3,2,2,有,有,2021,9,1,0.0,5.0,4.0,20.0,20.0,19.0,15.0,17.0,13.0,19.0,10.0,20.0,14.0,20.0,16.0,24.950331804695452,121.58017147121843
1243,文山區,房地(土地+建物),保儀路,35.0,第三種住宅區,1.0,1.0,0,3,無,4.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1966-11-15,96.76,4,2,1,有,無,2021,2,10,0.0,10.0,13.0,20.0,20.0,17.0,11.0,15.0,19.0,18.0,6.0,20.0,9.0,18.0,9.0,24.94830820469545,121.60043197121844
1244,內湖區,房地(土地+建物),麗山街,23.07,住,3.0,1.0,0,1,無,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1981-12-19,121.99,5,2,3,有,無,2019,14,11,2.0,13.0,10.0,20.0,20.0,18.0,8.0,12.0,19.0,20.0,11.0,20.0,10.0,20.0,19.0,25.044233504695452,121.60573567121844
1245,信義區,房地(土地+建物),忠孝東路五段,31.18,第三種住宅區,1.0,1.0,0.0,3,無,5.0,公寓(5樓含以下無電梯),集合住宅,鋼筋混凝土造,1978-04-25,118.77,3,2,2,有,有,2021,21,3,1.0,15.0,18.0,20.0,20.0,18.0,8.0,12.0,20.0,20.0,7.0,20.0,20.0,20.0,20.0,25.00379950469545,121.60779637121844
1246,內湖區,房地(土地+建物)+車位,行善路,40.42,住,1.0,1.0,1,3,無,9.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,2019-09-27,199.1,4,2,2,有,有,2019,13,2,0.0,5.0,11.0,20.0,20.0,20.0,7.0,9.0,19.0,20.0,14.0,20.0,20.0,20.0,20.0,25.02240350469545,121.61828037121843
1247,文山區,房地(土地+建物),忠順街一段,16.56,住,1.0,1.0,0,6,無,6.0,套房(1房1廳1衛),住家用,鋼筋混凝土造,1995-01-09,80.42,1,1,1,有,無,2019,29,11,0.0,10.0,14.0,20.0,20.0,17.0,12.0,17.0,16.0,16.0,8.0,20.0,12.0,20.0,12.0,24.944379604695452,121.59132467121844
1248,萬華區,房地(土地+建物),青年路,13.77,住,1.0,1.0,0,2,無,5.0,套房(1房1廳1衛),住家用,鋼筋混凝土造,1975-05-23,32.51,1,1,1,有,有,2020,31,5,0.0,11.0,11.0,20.0,20.0,20.0,11.0,18.0,18.0,20.0,15.0,20.0,20.0,20.0,20.0,24.98214390469545,121.53344997121845
1249,北投區,房地(土地+建物)+車位,立農街二段,36.58,住,1.0,1.0,1,3,無,9.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1999-11-30,157.22,2,2,2,有,有,2020,18,1,1.0,14.0,8.0,20.0,20.0,20.0,5.0,16.0,20.0,20.0,8.0,20.0,14.0,20.0,14.0,25.080187604695453,121.54640247121844
1250,南港區,房地(土地+建物)+車位,經貿二路,57.08,住,1.0,1.0,2,8,無,21.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,2014-12-04,344.32,3,2,3,有,有,2019,15,12,1.0,11.0,9.0,20.0,20.0,17.0,5.0,4.0,16.0,20.0,11.0,20.0,10.0,20.0,15.0,25.02334140469545,121.64772837121843
1251,信義區,房地(土地+建物),吳興街,27.95,第三種住宅區,2.0,1.0,0.0,5,無,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1967-01-20,82.6,5,0,5,有,無,2021,8,3,0.0,12.0,12.0,20.0,20.0,20.0,12.0,19.0,20.0,20.0,10.0,20.0,20.0,20.0,18.0,24.98749070469545,121.59702237121844
